field_id,region,crop_type,soil_organic_carbon,soil_ph,nitrogen_kgha,phosphorus_kgha,potassium_kgha,clay_content_pct,sulphur_ppm,calcium_meq,magnesium_meq,zinc_ppm,iron_ppm,copper_ppm,manganese_ppm,boron_ppm,electrical_conductivity_dsm,cumulative_rainfall_mm,growing_degree_days,avg_temperature_c,heat_stress_days,peak_ndvi,bio_applied,bio_product_type,bio_dosage_l_ha,observed_yield_q_acre,counterfactual_yield_q_acre,bio_attributed_lift_q,crop_msp_rs_q,gross_revenue_gain_rs,net_profit_rs
IND_FIELD_0034,Karnataka & Tamil Nadu,Soybean,6.67,6.64,88.0,22.0,210.5,43.9,18.0,15.6,9.2,0.33,9.47,0.67,6.61,0.43,0.54,1253.1,1947.6,30.6,3,0.92,0,None,0.0,20.25,20.63,-0.38,4892.0,-1853.0,-1853.0
IND_FIELD_0035,Karnataka & Tamil Nadu,Sugarcane,14.07,6.03,158.5,39.5,161.3,46.8,11.2,21.1,12.7,1.04,9.91,0.49,5.97,0.82,0.66,1028.8,2179.2,23.2,8,0.92,0,None,0.0,641.18,641.14,0.04,340.0,14.0,14.0
IND_FIELD_0036,Uttar Pradesh & Bihar,Rice (Paddy),7.78,6.97,75.7,22.1,193.6,25.4,9.6,31.3,9.2,1.33,5.78,0.22,2.72,0.92,0.49,1029.0,1893.6,31.6,10,0.92,0,None,0.0,38.17,37.81,0.36,2300.0,839.0,839.0
IND_FIELD_0037,Maharashtra & Vidarbha (Deccan),Mustard / Rapeseed,7.74,8.01,127.9,42.7,227.2,31.5,22.9,22.6,6.0,0.56,8.45,0.6,5.26,0.58,0.52,731.7,1812.2,22.6,2,0.797,1,Syngenta CropBio+ (Biostimulant),1.25,27.77,24.42,3.35,5650.0,18919.0,17316.0
IND_FIELD_0038,Punjab & Haryana (Indo-Gangetic),Wheat,7.24,5.9,134.4,49.6,288.5,18.7,6.3,29.6,12.4,1.06,6.43,0.27,5.7,0.74,0.25,1242.2,2021.6,24.5,5,0.92,1,Syngenta CropBio+ (Biostimulant),1.22,40.53,36.08,4.46,2275.0,10143.0,8506.0
IND_FIELD_0039,Andhra Pradesh & Telangana,Onion,9.46,6.5,67.2,17.5,238.9,37.2,13.9,24.3,9.4,1.37,7.98,0.78,2.2,0.77,0.79,607.5,3032.7,30.6,7,0.774,1,Syngenta Isabion,1.28,227.12,197.68,29.44,2800.0,82446.0,80505.0
IND_FIELD_0040,Maharashtra & Vidarbha (Deccan),Cotton,5.2,6.3,109.3,49.3,184.2,30.4,6.4,20.5,5.7,1.36,5.68,0.73,6.7,0.71,0.8,500.5,2135.8,23.3,11,0.666,0,None,0.0,16.81,16.81,-0.0,7121.0,-0.0,-0.0
IND_FIELD_0041,Punjab & Haryana (Indo-Gangetic),Mustard / Rapeseed,9.59,6.37,232.0,37.5,276.7,26.1,14.7,28.8,10.0,0.56,5.55,0.52,6.98,0.63,0.63,632.0,3158.2,34.6,7,0.853,0,None,0.0,28.8,28.95,-0.16,5650.0,-877.0,-877.0
IND_FIELD_0042,Maharashtra & Vidarbha (Deccan),Groundnut (Peanut),9.46,7.98,231.7,17.5,297.3,24.2,15.0,20.4,7.3,0.41,6.3,0.5,6.68,0.87,0.16,704.4,2636.2,33.3,5,0.831,0,None,0.0,26.01,25.6,0.41,6783.0,2803.0,2803.0
IND_FIELD_0043,Punjab & Haryana (Indo-Gangetic),Groundnut (Peanut),11.88,6.92,123.4,30.4,108.7,37.6,11.8,29.1,12.4,0.46,4.26,0.83,6.54,0.56,0.53,718.2,2132.2,30.1,5,0.863,0,None,0.0,25.31,25.11,0.2,6783.0,1328.0,1328.0
IND_FIELD_0044,Karnataka & Tamil Nadu,Mustard / Rapeseed,12.67,6.92,67.8,18.9,207.7,30.5,8.4,16.4,8.3,1.07,9.27,0.4,6.1,0.29,0.59,1087.0,2496.0,32.6,3,0.92,0,None,0.0,26.63,26.88,-0.25,5650.0,-1389.0,-1389.0
IND_FIELD_0045,Maharashtra & Vidarbha (Deccan),Groundnut (Peanut),8.34,7.63,92.2,42.1,148.3,23.4,12.8,12.8,11.1,1.1,5.75,0.37,5.48,0.84,0.85,656.9,2106.7,33.5,4,0.832,1,Syngenta Isabion,1.67,25.58,22.61,2.98,6783.0,20204.0,18532.0
IND_FIELD_0046,Andhra Pradesh & Telangana,Sugarcane,6.83,6.17,130.6,44.6,91.3,38.7,18.1,28.8,4.5,1.04,6.12,0.86,5.73,0.72,0.85,1092.8,3177.6,25.4,6,0.92,1,Syngenta Quantis,1.64,604.84,535.68,69.15,340.0,23512.0,21545.0
IND_FIELD_0047,Maharashtra & Vidarbha (Deccan),Soybean,6.35,6.97,230.6,16.5,240.5,35.0,20.1,22.9,7.7,0.67,9.73,0.77,6.44,0.84,0.75,536.6,2986.2,33.0,9,0.743,1,Syngenta Quantis,1.47,25.27,21.76,3.51,4892.0,17184.0,15437.0
IND_FIELD_0048,Andhra Pradesh & Telangana,Soybean,5.64,6.83,85.4,33.8,287.1,43.8,15.6,29.6,13.8,0.49,6.83,0.77,5.64,0.35,0.19,589.8,1836.7,24.5,5,0.733,0,None,0.0,19.01,19.58,-0.56,4892.0,-2759.0,-2759.0
IND_FIELD_0049,Andhra Pradesh & Telangana,Tur / Pigeon Pea (Arhar),4.13,7.23,197.4,47.0,119.1,21.5,16.6,30.6,12.0,0.94,7.17,0.34,3.8,0.27,0.82,933.4,3126.9,27.4,6,0.835,0,None,0.0,15.6,16.14,-0.54,7550.0,-4106.0,-4106.0
IND_FIELD_0050,Punjab & Haryana (Indo-Gangetic),Sugarcane,7.27,8.2,79.6,52.3,275.0,41.6,9.6,11.2,5.2,0.83,10.18,0.3,4.07,0.9,0.58,1325.8,2809.5,29.3,3,0.92,0,None,0.0,523.42,522.61,0.81,340.0,277.0,277.0
IND_FIELD_0051,Karnataka & Tamil Nadu,Groundnut (Peanut),6.47,7.65,236.6,34.1,284.8,38.2,11.2,21.0,6.4,1.1,9.67,0.22,6.93,0.35,0.71,1266.6,1915.3,31.3,6,0.92,0,None,0.0,24.52,25.36,-0.84,6783.0,-5729.0,-5729.0
IND_FIELD_0052,Uttar Pradesh & Bihar,Wheat,14.13,6.75,128.7,52.9,299.4,21.5,8.9,18.2,7.0,0.79,4.44,0.37,2.09,0.82,0.44,1370.3,2738.9,22.4,6,0.92,1,Syngenta Quantis,2.17,47.45,43.35,4.1,2275.0,9320.0,7719.0
IND_FIELD_0053,Karnataka & Tamil Nadu,Soybean,9.63,7.79,199.5,35.0,143.7,38.8,10.5,23.8,10.3,0.67,6.65,0.74,5.84,0.83,0.37,1068.0,2705.7,25.8,8,0.92,0,None,0.0,22.98,23.34,-0.36,4892.0,-1774.0,-1774.0
IND_FIELD_0054,Karnataka & Tamil Nadu,Soybean,7.32,6.21,121.7,29.0,296.9,31.2,10.0,27.5,11.4,0.62,10.29,0.37,7.25,0.75,0.47,1092.0,2106.3,29.9,6,0.92,1,Syngenta CropBio+ (Biostimulant),2.04,23.67,21.94,1.74,4892.0,8497.0,6681.0
IND_FIELD_0055,Andhra Pradesh & Telangana,Maize,9.89,5.87,173.0,48.5,157.0,46.3,15.4,16.2,11.4,0.53,5.92,0.71,5.88,0.34,0.25,1043.8,2861.8,26.6,3,0.92,1,Syngenta Quantis,2.27,58.18,53.4,4.79,2225.0,10654.0,8855.0
IND_FIELD_0056,Karnataka & Tamil Nadu,Rice (Paddy),5.03,6.29,94.6,33.2,212.6,22.2,16.1,22.2,8.9,0.59,5.91,0.38,7.47,0.72,0.4,1041.7,1921.9,32.1,9,0.92,0,None,0.0,36.36,36.26,0.1,2300.0,223.0,223.0
IND_FIELD_0057,Punjab & Haryana (Indo-Gangetic),Cotton,8.38,6.62,86.3,32.3,92.1,37.3,23.0,25.6,12.0,0.4,4.62,0.48,5.78,0.87,0.75,589.8,2485.2,30.5,1,0.748,1,Syngenta Isabion,2.7,20.87,19.09,1.78,7121.0,12686.0,10639.0
IND_FIELD_0058,Punjab & Haryana (Indo-Gangetic),Wheat,10.39,7.03,228.9,33.1,90.5,29.5,9.5,13.0,8.1,0.68,4.03,0.89,2.19,0.55,0.18,966.6,1813.9,25.0,4,0.92,1,Syngenta CropBio+ (Biostimulant),1.97,44.22,40.13,4.09,2275.0,9315.0,7645.0
IND_FIELD_0059,Punjab & Haryana (Indo-Gangetic),Soybean,8.88,7.28,225.2,48.4,252.9,46.7,17.6,27.9,4.8,0.34,8.6,0.37,6.55,0.54,0.26,816.8,3156.2,23.9,5,0.884,0,None,0.0,24.2,23.59,0.61,4892.0,2995.0,2995.0
IND_FIELD_0060,Maharashtra & Vidarbha (Deccan),Wheat,7.92,7.99,219.7,47.8,186.7,27.9,20.7,23.3,9.4,0.51,8.82,0.46,3.57,0.56,0.24,870.4,2852.2,30.2,2,0.898,1,Syngenta Isabion,1.74,42.4,38.56,3.84,2275.0,8727.0,6917.0
IND_FIELD_0061,Maharashtra & Vidarbha (Deccan),Cotton,14.43,7.02,172.6,29.4,141.5,46.9,16.1,30.9,13.5,1.12,10.27,0.41,4.45,0.31,0.43,947.4,2022.4,27.9,12,0.92,0,None,0.0,24.89,24.82,0.07,7121.0,480.0,480.0
IND_FIELD_0062,Maharashtra & Vidarbha (Deccan),Groundnut (Peanut),13.18,7.0,205.5,26.3,125.7,45.0,10.6,17.5,11.8,0.66,8.85,0.28,3.72,0.87,0.85,572.0,2278.3,24.2,1,0.909,1,Syngenta Quantis,2.84,30.42,27.27,3.14,6783.0,21330.0,19551.0
IND_FIELD_0063,Uttar Pradesh & Bihar,Rice (Paddy),10.36,5.92,72.4,33.2,240.8,26.1,10.7,12.4,9.6,1.04,4.98,0.54,3.48,0.86,0.27,791.5,2024.8,26.2,5,0.865,0,None,0.0,39.44,39.15,0.3,2300.0,679.0,679.0
IND_FIELD_0064,Maharashtra & Vidarbha (Deccan),Wheat,9.76,5.88,120.3,36.6,80.1,42.1,6.7,21.1,10.3,1.09,3.49,0.47,4.37,0.95,0.25,510.3,2873.3,25.9,9,0.8,0,None,0.0,35.04,35.7,-0.66,2275.0,-1500.0,-1500.0
IND_FIELD_0065,Maharashtra & Vidarbha (Deccan),Soybean,10.33,7.12,116.5,22.2,273.4,47.9,11.5,11.9,13.3,0.94,10.39,0.69,4.08,0.66,0.79,1380.7,1882.5,23.4,10,0.92,1,Syngenta Quantis,2.36,26.37,22.71,3.65,4892.0,17870.0,16114.0
IND_FIELD_0066,Andhra Pradesh & Telangana,Soybean,5.71,6.85,174.4,46.1,99.0,25.6,19.4,31.3,8.0,1.35,5.69,0.77,5.48,0.78,0.77,562.6,2976.6,29.1,6,0.746,1,Syngenta Isabion,2.82,23.86,19.8,4.06,4892.0,19839.0,17766.0
IND_FIELD_0067,Punjab & Haryana (Indo-Gangetic),Rice (Paddy),7.85,7.81,124.1,32.9,126.0,31.1,6.9,10.9,7.0,0.32,5.48,0.58,6.47,0.39,0.17,695.6,3119.1,31.9,5,0.833,0,None,0.0,36.64,36.08,0.55,2300.0,1274.0,1274.0
IND_FIELD_0068,Uttar Pradesh & Bihar,Wheat,3.93,6.19,86.7,26.4,172.7,33.6,9.9,26.6,13.8,1.11,9.81,0.22,3.63,0.72,0.68,1296.7,2747.3,29.5,4,0.92,0,None,0.0,30.34,31.29,-0.96,2275.0,-2181.0,-2181.0
IND_FIELD_0069,Punjab & Haryana (Indo-Gangetic),Sugarcane,8.73,5.86,167.4,16.6,196.4,26.8,18.7,21.6,12.6,1.35,7.47,0.63,3.18,0.7,0.61,908.6,2098.2,32.7,1,0.9,0,None,0.0,571.87,572.13,-0.26,340.0,-89.0,-89.0
IND_FIELD_0070,Karnataka & Tamil Nadu,Cotton,9.47,6.88,206.6,22.3,165.2,18.5,20.1,18.1,6.9,1.25,4.77,0.24,5.67,0.88,0.69,578.9,2304.1,23.7,4,0.798,0,None,0.0,22.23,22.19,0.04,7121.0,281.0,281.0
IND_FIELD_0071,Uttar Pradesh & Bihar,Maize,6.01,6.37,128.8,52.8,157.0,24.6,14.2,11.4,8.4,0.48,9.69,0.63,5.69,0.83,0.5,815.0,2468.1,27.7,4,0.844,1,Syngenta CropBio+ (Biostimulant),1.91,52.77,46.34,6.43,2225.0,14302.0,12412.0
IND_FIELD_0072,Punjab & Haryana (Indo-Gangetic),Mustard / Rapeseed,14.1,5.92,83.8,25.1,311.3,26.5,18.6,23.7,7.9,0.66,10.45,0.68,6.96,0.91,0.84,560.1,2646.5,29.9,4,0.909,1,Syngenta Quantis,1.91,33.05,29.18,3.88,5650.0,21905.0,20058.0
IND_FIELD_0073,Punjab & Haryana (Indo-Gangetic),Groundnut (Peanut),13.5,7.54,95.4,19.3,234.0,31.3,13.0,22.9,5.1,0.49,3.83,0.34,2.09,0.86,0.18,640.2,2736.1,30.8,3,0.852,1,Syngenta Isabion,1.58,28.11,26.45,1.66,6783.0,11266.0,9630.0
IND_FIELD_0074,Uttar Pradesh & Bihar,Soybean,11.44,6.07,102.7,31.8,85.6,23.1,8.9,16.2,13.6,0.96,9.49,0.77,6.69,0.86,0.31,499.4,2575.9,31.0,5,0.775,1,Syngenta CropBio+ (Biostimulant),1.93,24.36,21.4,2.96,4892.0,14481.0,12828.0
IND_FIELD_0075,Uttar Pradesh & Bihar,Wheat,9.37,7.26,114.0,25.2,183.2,44.2,13.2,30.0,7.7,1.08,6.05,0.84,4.87,0.29,0.43,866.3,2291.8,31.5,10,0.916,1,Syngenta Isabion,2.34,43.27,37.39,5.88,2275.0,13376.0,11653.0
IND_FIELD_0076,Uttar Pradesh & Bihar,Soybean,13.07,6.47,175.7,13.5,290.0,39.1,16.4,16.7,12.7,0.65,7.03,0.77,5.42,0.84,0.46,1216.3,3047.3,30.5,7,0.92,1,Syngenta Quantis,1.25,28.18,25.57,2.61,4892.0,12752.0,10895.0
IND_FIELD_0077,Uttar Pradesh & Bihar,Cotton,4.94,6.22,168.2,25.9,152.3,20.6,23.1,19.9,5.5,0.89,9.88,0.41,2.5,0.68,0.79,1006.7,1913.9,23.2,4,0.894,1,Syngenta CropBio+ (Biostimulant),2.98,22.21,19.01,3.2,7121.0,22790.0,20696.0
IND_FIELD_0078,Punjab & Haryana (Indo-Gangetic),Tomato,12.2,6.71,185.3,35.4,102.7,37.5,7.2,22.0,9.3,1.06,10.31,0.61,4.38,0.52,0.54,1026.0,2452.8,31.0,2,0.92,0,None,0.0,292.24,291.68,0.56,2400.0,1335.0,1335.0
IND_FIELD_0079,Maharashtra & Vidarbha (Deccan),Soybean,4.87,7.72,125.3,35.7,262.0,37.6,15.1,12.2,3.8,0.76,5.11,0.84,3.25,0.29,0.18,640.6,2885.8,31.4,10,0.665,1,Syngenta Isabion,2.32,22.29,19.29,3.01,4892.0,14709.0,13054.0
IND_FIELD_0080,Punjab & Haryana (Indo-Gangetic),Wheat,12.24,6.74,208.3,27.3,225.4,46.7,11.9,30.5,11.5,1.24,4.75,0.42,3.4,0.72,0.44,776.7,1885.2,34.9,6,0.896,1,Syngenta Quantis,1.71,47.05,42.51,4.54,2275.0,10330.0,8372.0
IND_FIELD_0081,Karnataka & Tamil Nadu,Sugarcane,6.53,7.6,96.7,31.2,216.9,18.1,15.1,18.2,9.6,1.15,3.79,0.77,4.77,0.48,0.44,1253.0,2787.5,31.0,8,0.92,1,Syngenta CropBio+ (Biostimulant),1.91,597.18,519.28,77.9,340.0,26485.0,24480.0
IND_FIELD_0082,Andhra Pradesh & Telangana,Maize,13.15,6.1,144.4,53.5,92.9,25.4,6.4,11.8,10.1,0.37,7.3,0.21,6.47,0.58,0.83,533.5,2947.6,30.9,5,0.795,1,Syngenta Quantis,2.19,61.12,53.45,7.67,2225.0,17072.0,15265.0
IND_FIELD_0083,Maharashtra & Vidarbha (Deccan),Wheat,13.88,7.65,204.2,28.2,113.7,45.8,11.6,18.5,4.0,0.98,3.3,0.2,6.09,0.73,0.57,1265.0,2725.2,28.7,6,0.92,0,None,0.0,41.58,42.28,-0.69,2275.0,-1580.0,-1580.0
IND_FIELD_0084,Punjab & Haryana (Indo-Gangetic),Soybean,5.14,6.37,92.4,23.1,229.4,46.0,20.8,23.2,5.7,0.56,6.21,0.73,5.25,0.89,0.59,909.5,1818.1,33.3,5,0.879,1,Syngenta Quantis,2.59,22.83,20.13,2.7,4892.0,13218.0,11326.0
IND_FIELD_0085,Maharashtra & Vidarbha (Deccan),Rice (Paddy),8.59,7.43,79.8,22.5,129.9,39.6,16.0,21.3,4.3,0.91,3.74,0.73,4.97,0.83,0.65,1245.3,2052.2,35.0,6,0.92,1,Syngenta Isabion,2.63,43.04,37.59,5.45,2300.0,12540.0,10681.0
IND_FIELD_0086,Maharashtra & Vidarbha (Deccan),Wheat,14.29,7.16,219.1,31.7,201.0,41.0,14.1,25.3,6.5,1.35,6.16,0.75,4.35,0.57,0.69,752.1,2279.0,32.1,2,0.92,0,None,0.0,44.71,45.48,-0.76,2275.0,-1739.0,-1739.0
